gene	program_rank	rhgp_mean_log2_cpm	dhgp_mean_log2_cpm	rhgp_minus_dhgp	pairwise_superiority	positive_direction	direction	label_gene
ANKRD37	1	4.57990806637085	4.23976173612311	0.340146330247746	0.555555555555556	TRUE	Higher in rHGP	FALSE
SDCBP2	2	-2.88234888026905	-3.55023085060395	0.667881970334901	0.648148148148148	TRUE	Higher in rHGP	FALSE
DUOXA2	3	3.635204175899	-0.0534464942133879	3.68865067011239	1	TRUE	Higher in rHGP	TRUE
DUOX2	4	5.65655847783646	2.26252813422526	3.39403034361121	0.833333333333333	TRUE	Higher in rHGP	TRUE
TSPAN1	5	7.73622849697953	6.80694467430116	0.929283822678372	0.62962962962963	TRUE	Higher in rHGP	FALSE
PLAUR	6	5.93396385551378	5.09198415888973	0.841979696624047	0.814814814814815	TRUE	Higher in rHGP	FALSE
QSOX1	7	7.02389522701694	6.97594839519619	0.0479468318207514	0.518518518518519	TRUE	Higher in rHGP	FALSE
MUC13	8	8.76772643715257	8.84089412540919	-0.0731676882566212	0.537037037037037	FALSE	Higher in dHGP	FALSE
KRT20	9	8.73280009639899	7.03346435750883	1.69933573889016	0.703703703703704	TRUE	Higher in rHGP	TRUE
C4BPB	10	4.75712348897386	3.0081505671409	1.74897292183296	0.888888888888889	TRUE	Higher in rHGP	TRUE
SLC16A3	11	6.0529182260318	5.43981138743861	0.613106838593183	0.666666666666667	TRUE	Higher in rHGP	FALSE
STBD1	12	2.01776165185183	1.62181442793341	0.395947223918415	0.648148148148148	TRUE	Higher in rHGP	FALSE
CEACAM1	13	7.92654289078281	6.91997141993328	1.00657147084952	0.814814814814815	TRUE	Higher in rHGP	TRUE
P4HA2	14	6.07096462320464	5.50474212662225	0.56622249658239	0.759259259259259	TRUE	Higher in rHGP	FALSE
KRT80	15	5.42850555033393	4.76730885554548	0.661196694788455	0.666666666666667	TRUE	Higher in rHGP	FALSE
NDRG1	16	8.22664007427568	7.91527464138671	0.311365432888968	0.574074074074074	TRUE	Higher in rHGP	FALSE
DDX60	17	5.56944054249476	5.36882452851431	0.200616013980451	0.518518518518519	TRUE	Higher in rHGP	FALSE
KLF4	18	5.55049729182216	5.19585237051108	0.354644921311083	0.685185185185185	TRUE	Higher in rHGP	FALSE
CYP3A5	19	6.01815417472982	6.0198165970383	-0.00166242230848113	0.407407407407407	FALSE	Higher in dHGP	FALSE
BIRC3	20	6.44600251926102	5.85081375994882	0.595188759312198	0.685185185185185	TRUE	Higher in rHGP	FALSE
APOL1	21	6.23267154928004	5.3821858187072	0.850485730572842	0.740740740740741	TRUE	Higher in rHGP	FALSE
GSN	23	7.71813334491428	7.0234901259415	0.694643218972784	0.703703703703704	TRUE	Higher in rHGP	FALSE
ADM	25	5.12303277864934	4.63926531899995	0.483767459649395	0.62962962962963	TRUE	Higher in rHGP	FALSE
NDUFA4L2	26	3.64898132372602	2.97473344852871	0.674247875197306	0.685185185185185	TRUE	Higher in rHGP	FALSE
CDHR5	27	5.83198832001868	4.85841664506339	0.973571674955292	0.703703703703704	TRUE	Higher in rHGP	FALSE
MX2	28	4.21078497826162	4.42170412142305	-0.210919143161421	0.462962962962963	FALSE	Higher in dHGP	TRUE
OAS1	29	6.62803708007774	6.72051599162377	-0.0924789115460278	0.425925925925926	FALSE	Higher in dHGP	FALSE
COL17A1	30	7.33250596211405	5.57602680749486	1.75647915461918	0.777777777777778	TRUE	Higher in rHGP	TRUE
FXYD3	31	8.58199725892915	8.02143948374734	0.560557775181811	0.62962962962963	TRUE	Higher in rHGP	FALSE
BTG1	32	7.63695276250458	7.51237839491318	0.124574367591401	0.611111111111111	TRUE	Higher in rHGP	FALSE
JUP	33	8.27360607727824	7.91790634131599	0.355699735962251	0.555555555555556	TRUE	Higher in rHGP	FALSE
ANGPTL4	34	4.82643087195397	3.25974545866376	1.56668541329021	0.796296296296296	TRUE	Higher in rHGP	TRUE
ISG15	35	4.68928160907618	4.53640880123465	0.152872807841526	0.537037037037037	TRUE	Higher in rHGP	FALSE
MXD1	36	5.95904256650105	5.85697579905325	0.102066767447798	0.592592592592593	TRUE	Higher in rHGP	FALSE
ARFGAP3	37	6.17133121610049	5.83617721659853	0.335153999501958	0.648148148148148	TRUE	Higher in rHGP	FALSE
CLDN3	38	6.83945426525353	7.15256214101336	-0.313107875759827	0.333333333333333	FALSE	Higher in dHGP	TRUE
IL32	39	7.92622891099265	7.36038220621805	0.565846704774602	0.740740740740741	TRUE	Higher in rHGP	FALSE
APOL6	40	6.23772402955556	6.1378127189138	0.0999113106417564	0.462962962962963	TRUE	Higher in rHGP	FALSE
RHOC	41	7.63364613136266	7.23217374506943	0.401472386293228	0.703703703703704	TRUE	Higher in rHGP	FALSE
ABCG1	42	5.77868454941895	5.2276968753246	0.550987674094351	0.833333333333333	TRUE	Higher in rHGP	FALSE
RSAD2	43	3.35543038707712	3.47438578763487	-0.118955400557748	0.425925925925926	FALSE	Higher in dHGP	FALSE
DUSP5	44	4.76424833945213	3.85697974125951	0.907268598192622	0.833333333333333	TRUE	Higher in rHGP	FALSE
PNCK	45	-0.578256133356006	-0.927482553603743	0.349226420247737	0.5	TRUE	Higher in rHGP	FALSE
PTPRH	46	4.52353090103051	4.09586811801662	0.427662783013891	0.722222222222222	TRUE	Higher in rHGP	FALSE
FHL2	47	7.37161947871299	7.02996648393998	0.341652994773014	0.740740740740741	TRUE	Higher in rHGP	FALSE
LDHA	48	10.3032895703707	10.0200049162273	0.283284654143467	0.611111111111111	TRUE	Higher in rHGP	FALSE
GRHL1	49	2.86640794940713	2.64016272542813	0.226245223978991	0.62962962962963	TRUE	Higher in rHGP	FALSE
EGLN3	50	6.2301923703416	5.7260405762991	0.504151794042492	0.648148148148148	TRUE	Higher in rHGP	FALSE
