program_rank	gene	interface_rhgp_minus_dhgp	direction	label_reader
1	ANKRD37	-0.4575750612475	Higher in dHGP	FALSE
2	SDCBP2	1.17217486941138	Higher in rHGP	TRUE
3	DUOXA2	0.373320436743101	Higher in rHGP	FALSE
4	DUOX2	0.334496774488315	Higher in rHGP	FALSE
5	TSPAN1	0.966827169015736	Higher in rHGP	FALSE
6	PLAUR	0.10182465115164	Higher in rHGP	FALSE
7	QSOX1	0.29192096131412	Higher in rHGP	FALSE
8	MUC13	0.997124594220593	Higher in rHGP	TRUE
9	KRT20	1.18890727310019	Higher in rHGP	TRUE
10	C4BPB	-0.251550187998426	Higher in dHGP	FALSE
11	SLC16A3	0.196979983130351	Higher in rHGP	FALSE
12	STBD1	-0.158360811138001	Higher in dHGP	FALSE
13	CEACAM1	0.637025867544671	Higher in rHGP	FALSE
14	P4HA2	0.493259483986244	Higher in rHGP	FALSE
15	KRT80	1.00615073530064	Higher in rHGP	TRUE
16	NDRG1	0.700360803128831	Higher in rHGP	FALSE
17	DDX60	0.0147929594811234	Higher in rHGP	FALSE
18	KLF4	-0.209102361994401	Higher in dHGP	FALSE
19	CYP3A5	-0.156656526506433	Higher in dHGP	FALSE
20	BIRC3	-0.526958575305563	Higher in dHGP	TRUE
21	APOL1	-0.372126672542708	Higher in dHGP	FALSE
22	ADGRF1	0.436553918760654	Higher in rHGP	FALSE
23	GSN	-0.234814200165219	Higher in dHGP	FALSE
24	HIF1A-AS3	0.347983886339078	Higher in rHGP	FALSE
25	ADM	0.0362049734066559	Higher in rHGP	FALSE
26	NDUFA4L2	0.681042341868509	Higher in rHGP	FALSE
27	CDHR5	0.426507166294832	Higher in rHGP	FALSE
28	MX2	-0.0936943787157789	Higher in dHGP	FALSE
29	OAS1	0.249098542020629	Higher in rHGP	FALSE
30	COL17A1	0.472576615787395	Higher in rHGP	FALSE
31	FXYD3	0.356740674293278	Higher in rHGP	FALSE
32	BTG1	-0.339517549359602	Higher in dHGP	FALSE
33	JUP	0.788405781487732	Higher in rHGP	FALSE
34	ANGPTL4	0.511124627925235	Higher in rHGP	FALSE
35	ISG15	-0.31398945244455	Higher in dHGP	FALSE
36	MXD1	0.344039721112882	Higher in rHGP	FALSE
37	ARFGAP3	-0.0126244843323342	Higher in dHGP	FALSE
38	CLDN3	0.281630300014795	Higher in rHGP	FALSE
39	IL32	0.288429338243654	Higher in rHGP	FALSE
40	APOL6	-0.403767507785684	Higher in dHGP	FALSE
41	RHOC	0.214537355063517	Higher in rHGP	FALSE
42	ABCG1	0.130517917816716	Higher in rHGP	FALSE
43	RSAD2	-0.556009979505542	Higher in dHGP	TRUE
44	DUSP5	-0.485592310726655	Higher in dHGP	FALSE
45	PNCK	0.534788043072683	Higher in rHGP	FALSE
46	PTPRH	0.341237033384726	Higher in rHGP	FALSE
47	FHL2	-0.0260029858086344	Higher in dHGP	FALSE
48	LDHA	0.200044731768346	Higher in rHGP	FALSE
49	GRHL1	0.51483527396061	Higher in rHGP	FALSE
50	EGLN3	0.269234826182158	Higher in rHGP	FALSE
