gene	program_rank	discovery_rec_vs_other	bulk_rHGP_vs_dHGP	interface_rHGP_vs_dHGP	epithelial_rHGP_vs_dHGP	spatial_rHGP_vs_dHGP	outgrowth_macro_vs_micro	member_ap1	member_hypoxia	member_regenerative	member_nfkb	hgp_positive_sources	all_positive_sources	persistent_five_source_core	hgp_recurrence_class	outgrowth_direction	biological_membership	shared_direction	label_gene
ANKRD37	1	2.2873789664618	0.340146330247746	-0.4575750612475	-0.842073452428686	-0.389055059983214	0.188578663005347	FALSE	TRUE	FALSE	FALSE	1	2	FALSE	positive in zero or one HGP dataset	higher in macrometastasis	Hypoxia	Other direction	FALSE
SDCBP2	2	2.46002023923364	0.667881970334901	1.17217486941138	2.04805605526441	0.535062156529833	1.01602650248368	FALSE	FALSE	FALSE	TRUE	4	5	TRUE	positive in all four HGP datasets	higher in macrometastasis	NF-kB regulon	Higher in both	TRUE
DUOXA2	3	4.16620531435602	3.68865067011239	0.373320436743101	1.77588302290714	0.338300004947884	1.53816746536988	FALSE	FALSE	TRUE	FALSE	4	5	TRUE	positive in all four HGP datasets	higher in macrometastasis	Regenerative	Higher in both	TRUE
DUOX2	4	3.0345020538091	3.39403034361121	0.334496774488315	-0.434142490721356	0.207456613975996	2.33669315409201	FALSE	FALSE	FALSE	FALSE	3	4	FALSE	positive in three HGP datasets	higher in macrometastasis	Other REC programme	Higher in both	TRUE
TSPAN1	5	2.07056215977856	0.929283822678372	0.966827169015736	1.68783698164508	-0.390718050540645	1.64467448487437	FALSE	FALSE	FALSE	FALSE	3	4	FALSE	positive in three HGP datasets	higher in macrometastasis	Other REC programme	Higher in both	TRUE
PLAUR	6	1.80932670972888	0.841979696624047	0.10182465115164	1.42334407453596	-0.0613712719597874	0.133305903071452	TRUE	FALSE	FALSE	TRUE	3	4	FALSE	positive in three HGP datasets	higher in macrometastasis	AP-1 target; NF-kB regulon	Higher in both	FALSE
QSOX1	7	1.52589163419651	0.0479468318207514	0.29192096131412	0.956596912257234	0.174135796671031	0.357377815884447	FALSE	FALSE	FALSE	FALSE	4	5	TRUE	positive in all four HGP datasets	higher in macrometastasis	Other REC programme	Higher in both	TRUE
MUC13	8	1.45913105620624	-0.0731676882566212	0.997124594220593	1.31878955832092	0.233573296851288	1.13641886462064	FALSE	FALSE	FALSE	FALSE	3	4	FALSE	positive in three HGP datasets	higher in macrometastasis	Other REC programme	Other direction	TRUE
KRT20	9	1.74060662823256	1.69933573889016	1.18890727310019	0.634422473234984	0.758690469668277	0.389983754070091	FALSE	FALSE	FALSE	FALSE	4	5	TRUE	positive in all four HGP datasets	higher in macrometastasis	Other REC programme	Higher in both	TRUE
C4BPB	10	2.21810765718594	1.74897292183296	-0.251550187998426	0.466754053888596	1.42817066352748	-1.15241856901029	FALSE	FALSE	FALSE	FALSE	3	3	FALSE	positive in three HGP datasets	not higher in macrometastasis	Other REC programme	Other direction	FALSE
SLC16A3	11	1.59132807903191	0.613106838593183	0.196979983130351	-0.472211596396069	0.289414420152184	0.726881377660436	FALSE	TRUE	TRUE	FALSE	3	4	FALSE	positive in three HGP datasets	higher in macrometastasis	Hypoxia; Regenerative	Higher in both	FALSE
STBD1	12	1.99986383171934	0.395947223918415	-0.158360811138001	1.54389322064992	1.23542393742268	-0.0594542155976374	FALSE	FALSE	FALSE	FALSE	3	3	FALSE	positive in three HGP datasets	not higher in macrometastasis	Other REC programme	Other direction	FALSE
CEACAM1	13	1.55218358380682	1.00657147084952	0.637025867544671	-0.217277007219046	-0.425768502851982	0.996447712311322	FALSE	FALSE	FALSE	FALSE	2	3	FALSE	split HGP direction	higher in macrometastasis	Other REC programme	Higher in both	FALSE
P4HA2	14	1.67240120369252	0.56622249658239	0.493259483986244	1.53496748471895	0.428079757460338	0.995561017325779	FALSE	FALSE	FALSE	FALSE	4	5	TRUE	positive in all four HGP datasets	higher in macrometastasis	Other REC programme	Higher in both	TRUE
