gene	program_rank	discovery_rec_vs_other	bulk_rHGP_vs_dHGP	interface_rHGP_vs_dHGP	epithelial_rHGP_vs_dHGP	spatial_rHGP_vs_dHGP	outgrowth_macro_vs_micro	member_ap1	member_hypoxia	member_regenerative	member_nfkb	hgp_positive_sources	all_positive_sources	persistent_five_source_core	hgp_recurrence_class	outgrowth_direction	biological_membership	bulk_rHGP_vs_dHGP_percentile	interface_rHGP_vs_dHGP_percentile	epithelial_rHGP_vs_dHGP_percentile	spatial_rHGP_vs_dHGP_percentile	mean_hgp_percentile_unweighted_four	shared_cohort_multimodal_percentile	mean_hgp_percentile_family_aware	mean_hgp_percentile_independent_only	mean_hgp_percentile	outgrowth_percentile	persistent
ANKRD37	1	2.2873789664618	0.340146330247746	-0.4575750612475	-0.842073452428686	-0.503673208325676	0.188578663005347	FALSE	TRUE	FALSE	FALSE	1	2	FALSE	positive in zero or one HGP dataset	higher in macrometastasis	Hypoxia	0.333333333333333	0.0666666666666667	0.111111111111111	0.2	0.177777777777778	0.155555555555556	0.185185185185185	0.2	0.185185185185185	0.422222222222222	Other REC genes
SDCBP2	2	2.46002023923364	0.667881970334901	1.17217486941138	2.04805605526441	0.672784462067736	1.01602650248368	FALSE	FALSE	FALSE	TRUE	4	5	TRUE	positive in all four HGP datasets	higher in macrometastasis	NF-kB regulon	0.688888888888889	0.955555555555556	0.911111111111111	0.755555555555556	0.827777777777778	0.833333333333333	0.825925925925926	0.822222222222222	0.825925925925926	0.8	Recurrent in all contexts
DUOXA2	3	4.16620531435602	3.68865067011239	0.373320436743101	1.77588302290714	0.11119425971163	1.53816746536988	FALSE	FALSE	TRUE	FALSE	4	5	TRUE	positive in all four HGP datasets	higher in macrometastasis	Regenerative	0.977777777777778	0.644444444444445	0.888888888888889	0.533333333333333	0.761111111111111	0.711111111111111	0.777777777777778	0.811111111111111	0.777777777777778	0.911111111111111	Recurrent in all contexts
DUOX2	4	3.0345020538091	3.39403034361121	0.334496774488315	-0.434142490721356	0.209824649069908	2.33669315409201	FALSE	FALSE	FALSE	FALSE	3	4	FALSE	positive in three HGP datasets	higher in macrometastasis	Other REC programme	0.955555555555556	0.555555555555556	0.244444444444444	0.6	0.588888888888889	0.422222222222222	0.644444444444445	0.755555555555556	0.644444444444445	0.977777777777778	Other REC genes
TSPAN1	5	2.07056215977856	0.929283822678372	0.966827169015736	1.68783698164508	-0.374778288477131	1.64467448487437	FALSE	FALSE	FALSE	FALSE	3	4	FALSE	positive in three HGP datasets	higher in macrometastasis	Other REC programme	0.8	0.888888888888889	0.866666666666667	0.266666666666667	0.705555555555556	0.566666666666667	0.751851851851852	0.844444444444445	0.751851851851852	0.955555555555556	Other REC genes
PLAUR	6	1.80932670972888	0.841979696624047	0.10182465115164	1.42334407453596	-0.0740693205881575	0.133305903071452	TRUE	FALSE	FALSE	TRUE	3	4	FALSE	positive in three HGP datasets	higher in macrometastasis	AP-1 target; NF-kB regulon	0.755555555555556	0.377777777777778	0.755555555555556	0.488888888888889	0.594444444444445	0.622222222222222	0.585185185185185	0.566666666666667	0.585185185185185	0.377777777777778	Other REC genes
QSOX1	7	1.52589163419651	0.0479468318207514	0.29192096131412	0.956596912257234	0.140731013727824	0.357377815884447	FALSE	FALSE	FALSE	FALSE	4	5	TRUE	positive in all four HGP datasets	higher in macrometastasis	Other REC programme	0.155555555555556	0.533333333333333	0.6	0.555555555555556	0.461111111111111	0.577777777777778	0.422222222222222	0.344444444444444	0.422222222222222	0.488888888888889	Recurrent in all contexts
MUC13	8	1.45913105620624	-0.0731676882566212	0.997124594220593	1.31878955832092	0.29908587915872	1.13641886462064	FALSE	FALSE	FALSE	FALSE	3	4	FALSE	positive in three HGP datasets	higher in macrometastasis	Other REC programme	0.111111111111111	0.911111111111111	0.666666666666667	0.644444444444445	0.583333333333333	0.655555555555556	0.559259259259259	0.511111111111111	0.559259259259259	0.822222222222222	Other REC genes
KRT20	9	1.74060662823256	1.69933573889016	1.18890727310019	0.634422473234984	1.00614529492834	0.389983754070091	FALSE	FALSE	FALSE	FALSE	4	5	TRUE	positive in all four HGP datasets	higher in macrometastasis	Other REC programme	0.888888888888889	0.977777777777778	0.533333333333333	0.844444444444445	0.811111111111111	0.688888888888889	0.851851851851852	0.933333333333333	0.851851851851852	0.511111111111111	Recurrent in all contexts
C4BPB	10	2.21810765718594	1.74897292183296	-0.251550187998426	0.466754053888596	1.39446997663179	-1.15241856901029	FALSE	FALSE	FALSE	FALSE	3	3	FALSE	positive in three HGP datasets	not higher in macrometastasis	Other REC programme	0.911111111111111	0.155555555555556	0.466666666666667	0.911111111111111	0.611111111111111	0.688888888888889	0.585185185185185	0.533333333333333	0.585185185185185	0.0444444444444444	Other REC genes
SLC16A3	11	1.59132807903191	0.613106838593183	0.196979983130351	-0.472211596396069	0.294200467966101	0.726881377660436	FALSE	TRUE	TRUE	FALSE	3	4	FALSE	positive in three HGP datasets	higher in macrometastasis	Hypoxia; Regenerative	0.644444444444445	0.422222222222222	0.222222222222222	0.622222222222222	0.477777777777778	0.422222222222222	0.496296296296296	0.533333333333333	0.496296296296296	0.733333333333333	Other REC genes
STBD1	12	1.99986383171934	0.395947223918415	-0.158360811138001	1.54389322064992	1.38687133195146	-0.0594542155976374	FALSE	FALSE	FALSE	FALSE	3	3	FALSE	positive in three HGP datasets	not higher in macrometastasis	Other REC programme	0.444444444444444	0.222222222222222	0.822222222222222	0.888888888888889	0.594444444444445	0.855555555555556	0.507407407407407	0.333333333333333	0.507407407407407	0.311111111111111	Other REC genes
CEACAM1	13	1.55218358380682	1.00657147084952	0.637025867544671	-0.217277007219046	-0.404973494877941	0.996447712311322	FALSE	FALSE	FALSE	FALSE	2	3	FALSE	split HGP direction	higher in macrometastasis	Other REC programme	0.844444444444445	0.8	0.311111111111111	0.244444444444444	0.55	0.277777777777778	0.640740740740741	0.822222222222222	0.640740740740741	0.777777777777778	Other REC genes
P4HA2	14	1.67240120369252	0.56622249658239	0.493259483986244	1.53496748471895	0.450235488223509	0.995561017325779	FALSE	FALSE	FALSE	FALSE	4	5	TRUE	positive in all four HGP datasets	higher in macrometastasis	Other REC programme	0.6	0.711111111111111	0.8	0.666666666666667	0.694444444444445	0.733333333333333	0.681481481481482	0.655555555555556	0.681481481481482	0.755555555555556	Recurrent in all contexts
KRT80	15	2.01240947379719	0.661196694788455	1.00615073530064	2.04956339323615	1.53057742752498	0.649780332233646	TRUE	FALSE	FALSE	FALSE	4	5	TRUE	positive in all four HGP datasets	higher in macrometastasis	AP-1 target	0.666666666666667	0.933333333333333	0.933333333333333	0.955555555555556	0.872222222222222	0.944444444444444	0.848148148148148	0.8	0.848148148148148	0.688888888888889	Recurrent in all contexts
NDRG1	16	1.99673456758665	0.311365432888968	0.700360803128831	0.324471570652254	-0.409232728675879	1.30289678123952	FALSE	TRUE	FALSE	FALSE	3	4	FALSE	positive in three HGP datasets	higher in macrometastasis	Hypoxia	0.288888888888889	0.844444444444445	0.444444444444444	0.222222222222222	0.45	0.333333333333333	0.488888888888889	0.566666666666667	0.488888888888889	0.888888888888889	Other REC genes
DDX60	17	1.99389332768528	0.200616013980451	0.0147929594811234	0.270000173413497	-1.20528665286982	-0.218763447811334	FALSE	FALSE	FALSE	FALSE	3	3	FALSE	positive in three HGP datasets	not higher in macrometastasis	Other REC programme	0.244444444444444	0.333333333333333	0.422222222222222	0.0666666666666667	0.266666666666667	0.244444444444444	0.274074074074074	0.288888888888889	0.274074074074074	0.266666666666667	Other REC genes
KLF4	18	1.62901029131166	0.354644921311083	-0.209102361994401	-1.59386408401575	1.27289614895899	-0.634619764333184	FALSE	FALSE	FALSE	FALSE	2	2	FALSE	split HGP direction	not higher in macrometastasis	Other REC programme	0.4	0.2	0.0222222222222222	0.866666666666667	0.372222222222222	0.444444444444444	0.348148148148148	0.3	0.348148148148148	0.0888888888888889	Other REC genes
CYP3A5	19	1.30278015419011	-0.00166242230848113	-0.156656526506433	0.248292744327322	1.43849638797088	-0.553114983743116	TRUE	FALSE	FALSE	FALSE	2	2	FALSE	split HGP direction	not higher in macrometastasis	AP-1 target	0.133333333333333	0.244444444444444	0.4	0.933333333333333	0.427777777777778	0.666666666666667	0.348148148148148	0.188888888888889	0.348148148148148	0.133333333333333	Other REC genes
