Ogden_state	marker	z
UPR	KRT19	-1.24006767772195
UPR	KRT18	-0.808503051768017
UPR	CDX2	0.555488313182813
UPR	KRT20	-1.12817357259633
UPR	ASCL2	0.59652832018438
UPR	SLPI	-1.82680411218677
Stem NOTUM	KRT19	-0.623707035422765
Stem NOTUM	KRT18	-1.41727761394666
Stem NOTUM	CDX2	-0.422164494788971
Stem NOTUM	KRT20	-1.09479037027528
Stem NOTUM	ASCL2	0.856320098983801
Stem NOTUM	SLPI	-0.49151709386912
Hypoxia	KRT19	0.614695777111195
Hypoxia	KRT18	-0.979430228804708
Hypoxia	CDX2	0.0444400922559522
Hypoxia	KRT20	0.0930887441852082
Hypoxia	ASCL2	-0.954543035772307
Hypoxia	SLPI	-0.407270494164517
Intermediate	KRT19	-0.148956060513688
Intermediate	KRT18	0.24079069845091
Intermediate	CDX2	-0.650678453427688
Intermediate	KRT20	-0.100807264536122
Intermediate	ASCL2	0.107498180610286
Intermediate	SLPI	-1.00081041752106
TA1	KRT19	-0.537094883176203
TA1	KRT18	-0.561809250131155
TA1	CDX2	0.157323156437978
TA1	KRT20	-0.708774426250156
TA1	ASCL2	0.465512294226173
TA1	SLPI	0.212307211006947
Stem	KRT19	-0.328567825423142
Stem	KRT18	1.12893158384707
Stem	CDX2	0.938869400971687
Stem	KRT20	-1.35290452135191
Stem	ASCL2	1.45778926813926
Stem	SLPI	-0.0153991559249691
Goblet	KRT19	-0.351890516776356
Goblet	KRT18	-0.322692743316839
Goblet	CDX2	0.364175945720516
Goblet	KRT20	1.43870323180101
Goblet	ASCL2	-0.407557283870614
Goblet	SLPI	1.13086620007105
iREC	KRT19	1.90501565029004
iREC	KRT18	2.09777618118857
iREC	CDX2	-2.33040692656704
iREC	KRT20	0.519940195944348
iREC	ASCL2	0.00624542026396687
iREC	SLPI	-0.0238645661294984
Colonocyte	KRT19	-0.923656030984519
Colonocyte	KRT18	0.184821456466676
Colonocyte	CDX2	1.5978792779283
Colonocyte	KRT20	0.92832767667423
Colonocyte	ASCL2	0.204254840149325
Colonocyte	SLPI	0.506004133414428
REC	KRT19	1.63422860261739
REC	KRT18	0.43739296801417
REC	CDX2	-0.254926311713537
REC	KRT20	1.405390306405
REC	ASCL2	-2.33204810291427
REC	SLPI	1.91648829530351
