figure	panel	panel_file
Figure 1	a	figure1a
Figure 1	b	figure1b
Figure 1	c	figure1c
Figure 1	d	figure1d
Figure 1	e	figure1e
Figure 1	f	figure1f
Figure 2	a	figure2a
Figure 2	b	figure2b
Figure 2	c	figure2c
Figure 2	d	figure2d
Figure 2	e	figure2e
Figure 3	a	figure3a
Figure 3	b	figure3b
Figure 3	c	figure3c
Figure 3	d	figure3d
Figure 3	e	figure3e
Figure 4	a	figure4a
Figure 4	b	figure4b
Figure 4	c	figure4c
Figure 4	d	figure4d
Figure 5	a	figure5a
Figure 5	b	figure5b
Figure 5	c	figure5c
Figure 5	d	figure5d
Figure 5	e	figure5e
Figure 6	a	figure6a
Figure 6	b	figure6b
Figure 6	c	figure6c
Figure 6	d	figure6d
Figure 6	e	figure6e
