Analysis domain	Primary setting	Alternative setting	Key result	Reader-facing interpretation
NC3-to-REC mapping metric	Pearson correlation across 94 shared informative genes	Spearman correlation; cosine similarity; Pearson correlation after removing the 6 NC3 source markers	REC ranked first in all four analyses; REC similarity ranged from 0.335 to 0.388 and its margin over the next state ranged from 0.148 to 0.217	The closest-reference-state interpretation did not depend on one similarity metric or the six annotation markers
NC3-to-REC mapping resampling	Full 94-gene map	10000 gene-bootstrap samples and 94 leave-one-gene-out maps	REC was the top state in 93.62% of bootstrap samples, the REC-minus-second-state margin was positive in 100%, and REC ranked first after every single-gene omission	No individual mapping gene determined the REC assignment
Published epithelial-state programmes	Fixed source-derived 50-gene REC programme	Published 33-marker programmes for ten source epithelial states	The published REC programme ranked first in bulk HGP data (difference 0.612) and second in lesion-size data (0.479); the published hypoxia programme ranked first for lesion size (0.514)	External axes favour the REC state while lesion size additionally carries a strong hypoxia component
Expression-matched programmes	Fixed programme among 44 genes measurable on both external axes	1000 expression-matched random 44-gene programmes	Observed effects were 0.498 in bulk HGP and 0.337 for lesion size; empirical P was 0.000999 for each axis and jointly	The joint external association was not reproduced by equally expressed random gene sets
Programme length	Top 50 source-ranked genes	Top 25, 75 and 100 source-ranked genes	Bulk HGP effects ranged from 0.502 to 0.614 and paired lesion-size effects from 0.305 to 0.374; all two-sided P values were at most 0.0195	The main directions were not specific to choosing exactly 50 genes
Epithelial single-cell QC	At least 150 detected genes, mitochondrial fraction at most 70%, and at least 20 tumour or epithelial cells per patient	16 feature-by-mitochondrial-filter combinations	Among settings retaining the same five patients, the equal-gene rHGP-minus-dHGP effect ranged from 0.255 to 0.397	The small epithelial cohort retained the same positive direction across compatible QC settings
Epithelial single-cell balancing	All eligible epithelial cells	1000 iterations with 38 cells sampled per patient	Median equal-gene effect was 0.268 with 85.3% positive iterations; pooled-expression effect was positive in 100% of iterations	Unequal epithelial-cell counts did not explain the directional support
FFPE spot QC and tumour mask	At least 200 detected genes and all expression-defined tumour-side spots	Detected-gene thresholds of 100, 200 and 500; epithelial-high restriction	Equal-gene near-band HGP effects were 0.038, 0.059 and 0.116 across thresholds, whereas HGP differences in near-minus-deep localisation were -0.178, -0.141 and -0.079; epithelial-high masks also showed no consistent boundary effect	The FFPE cohort was not treated as an independent HGP validation and did not support preferential boundary confinement
FFPE boundary width	One to five graph hops as the near-interface band	One to three and one to seven graph hops	Across 3, 5 and 7 hops, mean near-minus-deep effects were -0.016, -0.085 and -0.096 for equal-gene scores and -0.037, -0.064 and -0.059 for pooled expression; all HGP-localisation permutation P values were 0.3-0.7	The absence of boundary enrichment was not created by the prespecified five-hop boundary
Lesion-size region coverage	All 11 paired patient tumour summaries	Minimum 20 microtumour spots, retaining 9 pairs	Equal-gene effect was 0.290 (P=0.0703) and pooled-expression effect was 0.254 (P=0.00391)	The direction persisted when sparsely sampled microtumour regions were removed, with reduced exact-test resolution for the equal-gene endpoint
Lesion-size section structure	Patient-level aggregation across available sections	Within-section contrasts, retaining 10 patients	Equal-gene effect was 0.263 (P=0.0684) and pooled-expression effect was 0.237 (P=0.00195)	The paired direction was not generated solely by pooling regions across sections
Lesion-size spot balancing	All source-labelled tumour spots	1000 balanced-subsampling iterations	Median equal-gene and pooled-expression effects were 0.315 and 0.267, respectively; both were positive in 100% of iterations	Unequal regional spot counts did not explain the macro-versus-micro direction
